# x_m, y_m, vx_mps, psi_rad, kappa_radpm
0.2800985, -1.7319189, 4.2961340, 0.4358387, 0.0479810
0.2368453, -1.6397479, 4.2292091, 0.4421904, 0.0775143
0.1938593, -1.5499791, 4.1622842, 0.4515440, 0.1114217
0.1510263, -1.4629926, 4.0953593, 0.4642127, 0.1512023
0.1037110, -1.3704983, 4.0244401, 0.4822598, 0.1973392
0.0556333, -1.2810519, 3.9528520, 0.5051272, 0.2559679
0.0075150, -1.1967564, 3.8812639, 0.5335011, 0.3329148
-0.0455477, -1.1105927, 3.8065958, 0.5719445, 0.4212820
-0.1034811, -1.0250648, 3.7287924, 0.6206752, 0.5308741
-0.1609150, -0.9492374, 3.6509889, 0.6784376, 0.6980684
-0.2280782, -0.8722757, 3.5670922, 0.7590378, 0.8494898
-0.2987276, -0.8038975, 3.4806327, 0.8447979, 0.8702417
-0.3738110, -0.7425343, 3.3954369, 0.9252319, 0.7944339
-0.4552491, -0.6857869, 3.3114861, 0.9960037, 0.6037297
-0.5389876, -0.6345717, 3.2364727, 1.0457913, 0.4779557
-0.6266863, -0.5865246, 3.1686690, 1.0932569, 0.4696699
-0.7162526, -0.5427708, 3.1090529, 1.1390793, 0.4436345
-0.8073001, -0.5031637, 3.0575511, 1.1812344, 0.4054896
-0.9019472, -0.4664941, 3.0092102, 1.2204906, 0.3704931
-0.9945755, -0.4345084, 2.9706926, 1.2558037, 0.3512971
-1.0919858, -0.4046579, 2.9321750, 1.2908402, 0.3372992
-1.1876295, -0.3788583, 2.9000493, 1.3235289, 0.3217229
-1.2846546, -0.3559908, 2.8701929, 1.3549283, 0.3090674
-1.3848264, -0.3356607, 2.8403998, 1.3860564, 0.3006243
-1.4817732, -0.3190085, 2.8175906, 1.4151895, 0.2924152
-1.5809181, -0.3049304, 2.7947813, 1.4442260, 0.2881056
-1.6815316, -0.2936130, 2.7726845, 1.4733229, 0.2866004
-1.7804920, -0.2853491, 2.7563914, 1.5015888, 0.2832872
-1.8804699, -0.2798414, 2.7400982, 1.5299420, 0.2836140
-1.9809996, -0.2771724, 2.7245110, 1.5586243, 0.2867532
-2.0810455, -0.2773896, 2.7147870, 1.5873221, 0.2874367
-2.1810252, -0.2804852, 2.7050631, 1.6162392, 0.2912529
-2.2807037, -0.2864820, 2.6958675, 1.6456457, 0.2976437
-2.3808142, -0.2954985, 2.6927443, 1.6756123, 0.2987843
-2.4800251, -0.3074390, 2.6896211, 1.7055761, 0.3011154
-2.5783727, -0.3222836, 2.6871009, 1.7356921, 0.3041403
-2.6774642, -0.3403340, 2.6906804, 1.7662416, 0.3026289
-2.7751260, -0.3612056, 2.6942600, 1.7964379, 0.3022796
-2.8716779, -0.3849028, 2.6989654, 1.8265195, 0.3024635
-2.9688301, -0.4118875, 2.7093456, 1.8568843, 0.2999247
-3.0640347, -0.4414426, 2.7197259, 1.8866897, 0.2981726
-3.1582602, -0.4737939, 2.7323673, 1.9163440, 0.2972107
-3.2524703, -0.5093081, 2.7496747, 1.9462229, 0.2962877
-3.3443494, -0.5470892, 2.7669821, 1.9756111, 0.2953369
-3.4357794, -0.5878748, 2.7884655, 2.0051861, 0.2961513
-3.5260752, -0.6314103, 2.8129012, 2.0349479, 0.2974673
-3.6139004, -0.6770081, 2.8373369, 2.0644125, 0.2978642
-3.7016889, -0.7259779, 2.8686837, 2.0950964, 0.3130492
-3.7872347, -0.7772731, 2.9004500, 2.1269925, 0.3258720
-3.8708761, -0.8311907, 2.9347933, 2.1600097, 0.3406113
-3.9529289, -0.8881219, 2.9734099, 2.1950738, 0.3607891
-4.0329681, -0.9480374, 3.0120266, 2.2319510, 0.3759479
-4.1098705, -1.0102875, 3.0549477, 2.2716410, 0.4322826
-4.1846906, -1.0763514, 3.0987223, 2.3174292, 0.4818549
-4.2565185, -1.1461887, 3.1429904, 2.3673734, 0.5137329
-4.3230370, -1.2177765, 3.1887831, 2.4187218, 0.5338586
-4.3877731, -1.2952918, 3.2345757, 2.4728843, 0.5356376
-4.4475837, -1.3752549, 3.2798611, 2.5253423, 0.5024432
-4.5022577, -1.4564679, 3.3245802, 2.5719715, 0.4518518
