# x_m, y_m, vx_mps, psi_rad, kappa_radpm
2.0232223, -3.8401750, 5.2965609, 1.1484840, -0.0754081
1.9330471, -3.7992992, 5.1066891, 1.1419002, -0.0766898
1.8426458, -3.7574737, 4.9219080, 1.1324203, -0.1126336
1.7538106, -3.7151064, 4.7838583, 1.1170295, -0.2314283
1.6643244, -3.6698965, 4.6991647, 1.0867606, -0.3614530
1.5786370, -3.6227162, 4.6583783, 1.0464430, -0.4649882
1.4927380, -3.5701578, 4.6467291, 0.9958570, -0.5306418
1.4118549, -3.5146465, 4.6467291, 0.9423432, -0.5557591
1.3339258, -3.4547057, 4.6467291, 0.8882296, -0.5381213
1.2545277, -3.3864672, 4.6549124, 0.8343299, -0.4898568
1.1866949, -3.3221364, 4.6845669, 0.7898960, -0.4612510
1.1171148, -3.2499833, 4.7244555, 0.7450517, -0.4339292
1.0464407, -3.1697822, 4.7731626, 0.7000916, -0.4068853
0.9867376, -3.0962396, 4.8299803, 0.6646939, -0.3448324
0.9269407, -3.0173186, 4.9111407, 0.6328047, -0.3022250
0.8674881, -2.9336602, 5.0060770, 0.6033750, -0.2733519
0.8104662, -2.8484452, 5.1078431, 0.5764700, -0.2479939
0.7578442, -2.7654063, 5.2105068, 0.5537204, -0.2159234
0.7061928, -2.6798994, 5.3111863, 0.5335250, -0.1892571
0.6555663, -2.5923638, 5.4099925, 0.5155530, -0.1668619
0.6063664, -2.5038755, 5.5070263, 0.4996777, -0.1453275
0.5591098, -2.4158845, 5.6023796, 0.4864616, -0.1196345
0.5128078, -2.3271379, 5.6961370, 0.4757060, -0.0954753
0.4673756, -2.2379898, 5.7883759, 0.4673182, -0.0722953
0.4225961, -2.1485282, 5.8791679, 0.4612287, -0.0492620
0.3776517, -2.0576199, 5.9685789, 0.4575008, -0.0241369
0.3333163, -1.9673912, 6.0566701, 0.4563683, 0.0018492
0.2894705, -1.8782016, 6.1434984, 0.4579018, 0.0293936
0.2457584, -1.7899365, 6.1305543, 0.4622477, 0.0585826
0.1994220, -1.6977269, 5.9808328, 0.4694615, 0.0818415
0.1533583, -1.6079411, 5.8407524, 0.4790428, 0.1088929
0.1075435, -1.5209809, 5.7128166, 0.4912722, 0.1410907
0.0600981, -1.4339030, 5.5972312, 0.5070882, 0.1742607
0.0085360, -1.3431359, 5.4903374, 0.5266041, 0.2013757
-0.0423765, -1.2576582, 5.3983086, 0.5484193, 0.2397399
-0.0923459, -1.1780371, 5.3309093, 0.5733626, 0.2949466
-0.1523881, -1.0882671, 5.2638600, 0.6058048, 0.3048143
-0.2097890, -1.0080346, 5.1977559, 0.6363962, 0.3161011
-0.2682498, -0.9314246, 5.1312791, 0.6672716, 0.3104982
-0.3321016, -0.8526360, 5.0621489, 0.6920391, 0.1427235
-0.3927359, -0.7798130, 4.8966420, 0.6936477, 0.0160145
-0.4564096, -0.7041898, 4.8027576, 0.7111180, 0.3227178
-0.5220060, -0.6309072, 4.7682926, 0.7512256, 0.4551958
-0.5913953, -0.5599986, 4.7508393, 0.7985658, 0.4948396
-0.6658087, -0.4911283, 4.7427337, 0.8499203, 0.5163707
-0.7409480, -0.4284320, 4.7402869, 0.9011384, 0.5288714
-0.8239109, -0.3663863, 4.7402869, 0.9562666, 0.5340378
-0.9046282, -0.3124784, 4.7402869, 1.0074241, 0.5202901
-0.9907009, -0.2611843, 4.7467951, 1.0592250, 0.5150595
-1.0813592, -0.2133899, 4.7550964, 1.1120570, 0.5142734
-1.1702341, -0.1722263, 4.7629038, 1.1618868, 0.5046342
-1.2633086, -0.1346577, 4.7744770, 1.2123973, 0.5029431
-1.3594637, -0.1014258, 4.7856641, 1.2637482, 0.5050313
-1.4542884, -0.0739230, 4.7947076, 1.3131116, 0.4960294
